Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
мнн Гинкго Билоба;Желудочный сбор №3;117241;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №4Г. ГРОЗНОГО""";2013000097;43.317776;45.694909
Гомеопатическое средство;;219800.7;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №4Г. ГРОЗНОГО""";2013000097;43.317776;45.694909
Анаферон таб. д/рассасывания №20;;34403;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №4Г. ГРОЗНОГО""";2013000097;43.317776;45.694909
Анаферон таб. д/рассасыв. №20;;30772.5;2013;"филиал № 2 федерального государственного казенного учреждения ""3 Центральный военный клинический госпиталь имени А.А. Вишневского"" Министерства обороны Российской Федерации";5024000030;55.755814;37.617635
Анаферон;;102194.4;2017;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""321 ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";7536033272;52.033973;113.499432
Анаферон таблетки для рассасывания, 20 штук в упаковке;;34235.96;2016;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""354 ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";6661014540;55.160026;61.40259
Анаферон таблетки для рассасывания, 20 штук в упаковке;;174.64;2016;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""354 ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";6661014540;55.160026;61.40259
Оциллококцинум 200 К 10 мкл - 1 г/доза, 30 доз в упаковке;;21117.57;2015;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""354 ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";6661014540;55.160026;61.40259
Эхинацея настойка 50мл фл, Тульская ф/ф;;6150;2016;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""416 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";3664140191;51.661535;39.200287
Оциллококцинум 1, 0 в капсуле 6 шт в упаковке;;11280;2015;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""416 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";3664140191;51.661535;39.200287
